Saída TERMINAL;TRAJETO;Veículos
;;
22:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
23:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
00:30;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
01:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
01:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:00;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
02:20;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
03:30;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
04:00;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Van
;;
Saída MUSEU Pelé;TRAJETO;Veículos
;;
05:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
06:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
06:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
07:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
08:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
09:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
10:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
11:35;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
12:20;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:25;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
12:30;MUSEU PELE + ALFANDEGA + PORTARIA LEVE + ARMAZEM;Ônibus
